,id,neighbourhood_group_cleansed,room_type,price,calculated_host_listings_count,availability_365,bedrooms,bathrooms,beds,accommodates,host_is_superhost,log_price
28715,952984142614272420,Staten Island,Entire home/apt,80.0,1,260,1.0,1.0,1.0,2,False,1.9030899869919435
28716,953082621778685235,Manhattan,Entire home/apt,4435.0,5,319,5.0,4.0,5.0,10,False,3.646893624167745
28717,953092713442237503,Bronx,Private room,45.0,1,2,1.0,1.0,1.0,1,False,1.6532125137753437
28718,953102865275048099,Manhattan,Private room,147.0,1,270,1.0,1.0,1.0,2,False,2.167317334748176
28720,953206229223459043,Manhattan,Private room,53.0,3,116,1.0,2.0,1.0,2,False,1.724275869600789
28722,954431936531898557,Manhattan,Private room,62.0,12,258,5.0,2.0,1.0,1,False,1.792391689498254
28724,954811174828138756,Brooklyn,Entire home/apt,130.0,1,152,2.0,1.0,2.0,4,False,2.113943352306837
28725,954968669432641550,Brooklyn,Private room,43.0,4,176,1.0,1.0,1.0,1,False,1.6334684555795864
28726,954977821157428078,Brooklyn,Private room,99.0,5,90,1.0,1.0,1.0,2,False,1.99563519459755
28727,955021520281902760,Queens,Private room,64.0,1,180,1.0,1.0,1.0,2,False,1.806179973983887
28728,955034667956489782,Brooklyn,Entire home/apt,383.0,1,269,3.0,1.0,3.0,4,False,2.583198773968623
28729,955050227421369755,Brooklyn,Private room,60.0,10,82,1.0,2.0,1.0,2,True,1.7781512503836436
28730,949015083661627174,Brooklyn,Private room,40.0,231,31,1.0,1.0,1.0,2,False,1.6020599913279623
28731,949203092352821304,Brooklyn,Private room,118.0,1,250,2.0,1.0,3.0,4,True,2.0718820073061255
28732,949211575885214022,Queens,Private room,257.0,1,269,2.0,1.0,2.0,2,False,2.4099331233312946
28733,949224321229263998,Manhattan,Entire home/apt,99.0,23,214,2.0,1.0,2.0,4,False,1.99563519459755
28734,949234336228113845,Bronx,Private room,47.0,9,204,1.0,1.0,1.0,1,True,1.6720978579357175
28736,955102598808666581,Manhattan,Entire home/apt,115.0,46,275,1.0,1.0,2.0,2,True,2.060697840353612
28737,955168568146763274,Manhattan,Entire home/apt,139.0,46,352,1.0,1.0,2.0,3,True,2.143014800254095
28740,955641002931211440,Manhattan,Entire home/apt,2027.0,1194,365,3.0,3.0,3.0,6,False,3.3068537486930087
28741,955641708252700384,Manhattan,Entire home/apt,370.0,1194,351,1.0,1.0,1.0,2,False,2.568201724066995
28742,955642047468711045,Manhattan,Entire home/apt,354.0,1194,294,2.0,1.5,2.0,4,False,2.5490032620257876
28743,949251364400329401,Brooklyn,Entire home/apt,375.0,1,362,1.0,1.5,1.0,4,False,2.574031267727719
28744,949264702916929713,Brooklyn,Private room,70.0,1,245,1.0,1.0,1.0,1,False,1.845098040014257
28745,949265372729570235,Manhattan,Private room,226.0,36,353,1.0,1.0,1.0,2,False,2.3541084391474008
28746,953374339819644784,Manhattan,Private room,115.0,2,270,1.0,1.0,2.0,1,False,2.060697840353612
28747,953391145939365107,Manhattan,Entire home/apt,323.0,1,188,2.0,1.0,2.0,3,True,2.509202522331103
28748,953551779964382496,Manhattan,Private room,100.0,1,269,1.0,1.0,1.0,1,False,2.0
28749,953648370950219232,Bronx,Entire home/apt,104.0,2,269,1.0,1.0,3.0,3,False,2.0170333392987803
28750,953676633258858896,Manhattan,Private room,61.0,3,136,1.0,2.0,1.0,2,False,1.7853298350107671
28751,953709683318097157,Queens,Private room,55.0,2,364,1.0,1.0,1.0,1,False,1.7403626894942439
28752,953728610532190232,Manhattan,Entire home/apt,133.0,32,269,1.0,1.0,1.0,2,False,2.123851640967086
28753,953749709894151239,Brooklyn,Entire home/apt,316.0,3,289,3.0,2.0,4.0,8,False,2.499687082618404
28754,953828756330090292,Manhattan,Entire home/apt,532.0,1,209,4.0,1.0,6.0,7,False,2.7259116322950483
28755,949268359066422850,Manhattan,Private room,198.0,36,274,1.0,1.0,1.0,2,False,2.296665190261531
28757,949274358936897763,Manhattan,Private room,207.0,36,362,1.0,1.0,1.0,2,False,2.315970345456918
28758,949277070616892307,Manhattan,Private room,215.0,36,308,1.0,1.0,1.0,2,False,2.3324384599156054
28759,949280014906858915,Manhattan,Private room,247.0,36,364,1.0,1.0,1.0,2,False,2.392696953259666
28760,949282062861822755,Manhattan,Private room,246.0,36,359,1.0,1.0,2.0,2,False,2.3909351071033793
28761,949284629071808523,Manhattan,Private room,281.0,36,313,1.0,1.0,2.0,3,False,2.44870631990508
28762,955648648399082078,Manhattan,Entire home/apt,352.0,1194,263,1.0,1.0,1.0,2,False,2.546542663478131
28763,955696793185611740,Staten Island,Private room,71.0,3,147,1.0,1.0,1.0,1,True,1.8512583487190752
28764,955757854520890146,Queens,Private room,125.0,1,33,2.0,1.0,2.0,4,False,2.0969100130080562
28765,955770350166622194,Manhattan,Private room,149.0,1,364,1.0,1.0,1.0,2,False,2.173186268412274
28766,955794046126735510,Manhattan,Private room,631.0,2,320,2.0,2.0,3.0,2,True,2.8000293592441343
28767,955801266390516689,Bronx,Private room,120.0,2,270,1.0,1.0,1.0,2,False,2.0791812460476247
28768,955842473362618091,Brooklyn,Entire home/apt,152.0,1,105,1.0,1.0,2.0,6,True,2.1818435879447726
28769,955899560315923046,Brooklyn,Private room,100.0,1,270,1.0,1.0,1.0,1,False,2.0
28771,949288691549168003,Manhattan,Private room,304.0,36,351,1.0,1.0,1.0,2,False,2.482873583608754
28772,949400303873290231,Manhattan,Entire home/apt,600.0,31,115,2.0,2.0,2.0,4,True,2.7781512503836434
28773,949486536388006369,Queens,Private room,113.0,3,259,1.0,1.0,1.0,2,False,2.0530784434834195
28774,953831266529128673,Brooklyn,Entire home/apt,150.0,1,147,3.0,1.0,4.0,6,False,2.1760912590556813
28775,953873085836036385,Manhattan,Entire home/apt,120.0,11,241,1.0,1.0,1.0,3,False,2.0791812460476247
28776,953884582009992940,Brooklyn,Entire home/apt,191.0,3,337,1.0,1.0,1.0,3,False,2.2810333672477277
28777,954013635793717147,Queens,Shared room,37.0,2,270,1.0,1.0,1.0,2,False,1.568201724066995
28778,954203854664822839,Manhattan,Entire home/apt,1380.0,1,264,1.0,1.0,1.0,2,False,3.1398790864012365
28779,954215732943587985,Manhattan,Private room,110.0,4,204,1.0,2.0,1.0,2,False,2.041392685158225
28780,954215877577072004,Manhattan,Private room,135.0,4,42,1.0,2.0,1.0,2,False,2.130333768495006
28781,954239000010599102,Brooklyn,Entire home/apt,951.0,1,364,2.0,1.0,2.0,4,False,2.978180516937414
28782,954283379414654919,Manhattan,Private room,246.0,8,323,1.0,1.0,1.0,2,True,2.3909351071033793
28784,949729555472891578,Manhattan,Entire home/apt,403.0,1194,348,1.0,1.0,1.0,2,False,2.6053050461411096
28785,949902736506232978,Brooklyn,Entire home/apt,320.0,2,246,2.0,2.0,2.0,6,True,2.505149978319906
28787,955982807488068454,Bronx,Entire home/apt,91.0,4,222,1.0,1.0,1.0,4,False,1.9590413923210936
28788,956116282739680488,Brooklyn,Entire home/apt,153.0,1,324,1.0,1.0,1.0,2,True,2.184691430817599
28790,956315593100013830,Manhattan,Private room,260.0,4,100,2.0,2.0,3.0,6,False,2.4149733479708178
28792,956572242219688781,Queens,Private room,91.0,1,163,1.0,1.0,1.0,1,True,1.9590413923210936
28794,956637921456579090,Brooklyn,Private room,101.0,1,269,1.0,1.0,1.0,2,True,2.0043213737826426
28795,956673432204758423,Staten Island,Private room,76.0,3,358,1.0,1.0,1.0,1,True,1.8808135922807914
28796,949940706376643143,Bronx,Entire home/apt,114.0,3,150,2.0,1.0,2.0,4,False,2.0569048513364727
28799,954298098284771504,Manhattan,Private room,194.0,8,325,1.0,1.0,1.0,2,True,2.287801729930226
28800,954299772270320483,Manhattan,Private room,233.0,8,340,1.0,1.0,1.0,2,True,2.367355921026019
28801,954300939099227966,Manhattan,Private room,172.0,8,285,1.0,1.0,1.0,2,True,2.2355284469075487
28802,954305781860517709,Manhattan,Private room,228.0,8,252,1.0,1.0,1.0,1,True,2.357934847000454
28803,954307423551946038,Manhattan,Private room,206.0,8,309,1.0,1.0,1.0,2,True,2.3138672203691533
28804,954307563027422794,Manhattan,Private room,76.0,1,240,1.0,1.0,1.0,2,False,1.8808135922807914
28805,954322057643536426,Manhattan,Private room,183.0,8,290,1.0,1.0,1.0,2,True,2.2624510897304293
28806,954330013939237910,Queens,Private room,35.0,6,115,1.0,1.5,1.0,1,True,1.5440680443502757
28807,954338450548949071,Manhattan,Entire home/apt,158.0,2,209,2.0,1.0,2.0,3,False,2.1986570869544226
28808,950088048554818503,Manhattan,Entire home/apt,116.0,32,35,1.0,1.0,2.0,3,False,2.0644579892269186
28809,950110666381625817,Manhattan,Shared room,225.0,1,268,1.0,1.0,1.0,2,False,2.3521825181113627
28810,950150663573223073,Manhattan,Entire home/apt,211.0,1,270,1.0,1.0,1.0,2,False,2.3242824552976926
28811,950168592361022132,Brooklyn,Private room,95.0,4,364,1.0,1.0,2.0,2,True,1.9777236052888478
28813,957076524269538819,Staten Island,Entire home/apt,130.0,3,152,2.0,1.0,2.0,4,True,2.113943352306837
28815,957180843002831029,Queens,Private room,90.0,2,179,1.0,1.0,1.0,1,False,1.954242509439325
28816,957256229805799881,Brooklyn,Entire home/apt,215.0,1,180,2.0,1.5,3.0,6,False,2.3324384599156054
28817,957270452215143039,Brooklyn,Entire home/apt,391.0,1,216,4.0,2.0,4.0,9,True,2.5921767573958667
28818,957303156931207604,Manhattan,Private room,51.0,2,269,1.0,1.0,1.0,1,True,1.7075701760979363
28820,957362915117972428,Brooklyn,Entire home/apt,433.0,1,316,3.0,1.5,3.0,5,True,2.6364878963533656
28821,957417213711130957,Manhattan,Private room,51.0,2,181,1.0,1.0,1.0,1,True,1.7075701760979363
28822,950316243638576156,Brooklyn,Entire home/apt,201.0,1,286,1.0,1.0,1.0,2,True,2.303196057420489
28823,950613063933116818,Brooklyn,Private room,49.0,4,272,1.0,1.0,1.0,2,True,1.6901960800285136
28824,963116369097877691,Brooklyn,Entire home/apt,337.0,2,168,3.0,1.0,4.0,6,False,2.5276299008713385
28826,954363583010781575,Manhattan,Private room,51.0,3,212,1.0,1.0,1.0,2,False,1.7075701760979363
28827,954370729256029436,Manhattan,Private room,46.0,3,125,1.0,1.0,1.0,1,False,1.662757831681574
